ANNO_ACCADEMICO;COD_ISTITUTO;TIPO_ISTITUTO;NOME_ISTITUTO;COMUNE_SEDE;CODICE_GETTITO;DESCRIZIONE_GETTITO;IMPORTO_CORSI_PREACCADEMICI;IMPORTO_CORSI_SUP_VO;IMPORTO_CORSI_ACCADEMICI_NO;IMPORTO_CORSI_ACCADEMICI_NO_POST
2024-2025;001402001272;Conservatori di Musica;Giuseppe Verdi;TORINO;05 ;Altro da studenti non costituenti gettito;224;0;13242;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;01a;Tasse e contributi per iscrizione e frequenza;66928,7;0;407659,4;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;02a;Tasse per esami di ammissione ed esami finali;8543,49;0;18225,09;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;43820;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;04 ;Diritti di segreteria;685;0;7145;0
2024-2025;003401003106;Conservatori di Musica;Guido Cantelli;NOVARA;05 ;Altro da studenti non costituenti gettito;432;0;6751;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;01a;Tasse e contributi per iscrizione e frequenza;41390;0;295045,42;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;02a;Tasse per esami di ammissione ed esami finali;920;0;1916;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;03a;Tassa regionale per il DSU versata all'Istituto;0;0;32760;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;04 ;Diritti di segreteria;1168;0;3984;0
2024-2025;004401004078;Conservatori di Musica;G.F. Ghedini;CUNEO;05 ;Altro da studenti non costituenti gettito;1740;0;6870;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;01a;Tasse e contributi per iscrizione e frequenza;31899,3;0;260892;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;02a;Tasse per esami di ammissione ed esami finali;4460;2250;18430;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;35840;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;04 ;Diritti di segreteria;0;0;0;0
2024-2025;006401006003;Conservatori di Musica;Antonio Vivaldi;ALESSANDRIA;05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;010401010025;Conservatori di Musica;Nicolò Paganini;GENOVA;01a;Tasse e contributi per iscrizione e frequenza;67650,48;0;206269,25;0
